time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
1991-04-08T05:20:53.180Z,40.4001667,-124.8073333,41.718,3.62,md,10,289,0.5252,0.09,nc,nc1185657,2016-12-18T07:07:22.093Z,"offshore Northern California",earthquake,4.87,2.45,0.04,2,reviewed,nc,nc
1991-04-04T19:00:00.780Z,37.2961667,-116.3128333,0.01,5.13,ml,69,271,,0.24,ci,ci2015859,2016-04-01T23:08:58.232Z,"58km NE of Beatty, NV",nuclear explosion,99,31.61,0.089,6,reviewed,ci,ci
1991-04-03T17:29:46.990Z,35.464,-118.324,7.766,3.59,ml,0,35.1,,0.103,ci,ci2015771,2016-02-04T22:23:29.430Z,"20km SE of Bodfish, CA",earthquake,,0.138,,34,reviewed,ci,ci
1991-03-31T05:29:21.740Z,32.013,-115.613,5.783,3.59,ml,0,246,,0.473,ci,ci2015587,2016-02-04T22:34:27.480Z,"48km WSW of Alberto Oviedo Mota, B.C., MX",earthquake,,,,13,reviewed,ci,ci
1991-03-26T09:15:58.700Z,37.642,-118.9361667,4.436,3.7,ml,37,96,0.02432,0.07,nc,nc208913,2016-12-18T05:30:49.110Z,"Long Valley area, California",earthquake,0.25,0.45,,0,reviewed,nc,nc
1991-03-26T09:11:48.690Z,37.6385,-118.9416667,4.686,3.6,ml,38,103,0.02072,0.07,nc,nc210691,2016-12-18T05:30:23.870Z,"Long Valley area, California",earthquake,0.24,0.37,,0,reviewed,nc,nc
1991-03-25T15:46:14.260Z,37.646,-118.9365,5.534,3.5,ml,30,56,0.01982,0.08,nc,nc208716,2016-12-18T05:01:57.390Z,"Long Valley area, California",earthquake,0.22,0.36,,0,reviewed,nc,nc
1991-03-24T05:54:56.420Z,37.622,-118.9878333,0.372,3.6,ml,20,112,0.01982,0.29,nc,nc209584,2016-12-18T04:34:21.600Z,"Long Valley area, California",earthquake,0.88,1.45,,0,reviewed,nc,nc
1991-03-24T04:26:25.000Z,37.6471667,-118.9211667,2.516,3.7,ml,37,61,0.01441,0.06,nc,nc208489,2016-12-18T04:29:12.080Z,"Long Valley area, California",earthquake,0.21,0.21,,0,reviewed,nc,nc
1991-03-24T04:11:20.480Z,37.648,-118.9375,5.238,3.5,ml,39,54,0.01802,0.07,nc,nc208485,2016-12-18T04:28:01.480Z,"Long Valley area, California",earthquake,0.24,0.3,,0,reviewed,nc,nc
1991-03-24T03:42:08.610Z,36.9651667,-121.7258333,14.562,4.6,ml,92,42,0.06126,0.08,nc,nc208480,2016-12-18T04:26:51.480Z,"Northern California",earthquake,0.18,0.31,,0,reviewed,nc,nc
1991-03-21T04:10:59.390Z,49.698,-66.594,18,4,mb,,,,,us,usp0004pay,2014-11-07T00:48:13.311Z,"Gaspe Peninsula, Quebec, Canada",earthquake,,,,1,reviewed,ott,us
